Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status,Metafield: custom.short [single_line_text_field],Metafield: custom.badge [single_line_text_field],Metafield: custom.kind [single_line_text_field],Metafield: custom.accent_color [single_line_text_field]
fightpro-kickbokshandschoenen-12rounds-leer,,,,,,,Maat,12 oz,,shopify,10,deny,manual,59.95,,TRUE,TRUE,,,,active,,,,
fightpro-kickbokshandschoenen-12rounds-leer,,,,,,,Maat,14 oz,,shopify,10,deny,manual,59.95,,TRUE,TRUE,,,,active,,,,
fightpro-kickbokshandschoenen-12rounds-leer,,,,,,,Maat,16 oz,,shopify,10,deny,manual,59.95,,TRUE,TRUE,,,,active,,,,
fightpro-kickbokshandschoenen-12rounds-leer,,,,,,,Maat,4 oz,,shopify,10,deny,manual,59.95,,TRUE,TRUE,,,,active,,,,
fightpro-kickbokshandschoenen-12rounds-leer,,,,,,,Maat,6 oz,,shopify,10,deny,manual,59.95,,TRUE,TRUE,,,,active,,,,
fightpro-kickbokshandschoenen-12rounds-leer,,,,,,,Maat,8 oz,,shopify,10,deny,manual,59.95,,TRUE,TRUE,,,,active,,,,
fightpro-kickbokshandschoenen-12rounds-leer,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/03/FIGHTPRO-boxhandschuhe-12rounds-Leder-1.jpg,2,Fightpro kickbokshandschoenen 12Rounds leer,,,,,
fightpro-kickbokshandschoenen-12rounds-leer,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/03/FIGHTPRO-boxhandschuhe-12rounds-Leder-2.jpg,3,Fightpro kickbokshandschoenen 12Rounds leer,,,,,
fightpro-kickbokshandschoenen-12rounds-leer,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/03/FIGHTPRO-boxhandschuhe-12rounds-Leder-3.jpg,4,Fightpro kickbokshandschoenen 12Rounds leer,,,,,
fightpro-kickbokshandschoenen-titan-top-kwaliteit-leer-zwart-wit,Fightpro kickbokshandschoenen TITAN Top kwaliteit leer Zwart/Wit,"<h2 data-start=""165"" data-end=""243"">TITAN Leren Bokshandschoenen – Professionele kwaliteit voor serieus trainen, ook voor boksers</h2> <p data-start=""245"" data-end=""542"">De <strong data-start=""248"" data-end=""280"">TITAN leren bokshandschoenen</strong> staan voor betrouwbare kwaliteit en een professionele uitstraling. Gemaakt van <strong data-start=""360"" data-end=""385"">hoogwaardig echt leer</strong>, bieden deze handschoenen uitstekende duurzaamheid, stabiliteit en een comfortabele pasvorm – precies wat sporters verwachten tijdens intensieve trainingen.</p> <p data-start=""544"" data-end=""788"">De ergonomische vorm ondersteunt een <strong data-start=""581"" data-end=""609"">natuurlijke vuistpositie</strong>, terwijl de <strong data-start=""622"" data-end=""645"">meervoudige padding</strong> zorgt voor goede schokabsorptie. Hierdoor zijn de handschoenen perfect geschikt voor <strong data-start=""731"" data-end=""787"">bokstraining, kickboksen, sparren en bokszaktraining</strong>.</p> <p data-start=""790"" data-end=""932"">Dit model wordt veel gebruikt tijdens intensieve trainingen en staat bekend om zijn <strong data-start=""874"" data-end=""914"">sterke afwerking en lange levensduur</strong> – ronde na ronde.</p> <h3 data-start=""934"" data-end=""947"">Voordelen</h3> <ul data-start=""949"" data-end=""1132""> <li data-start=""949"" data-end=""981""> <p data-start=""951"" data-end=""981"">Gemaakt van <strong data-start=""963"" data-end=""981"">100% echt leer</strong></p> </li> <li data-start=""982"" data-end=""1020""> <p data-start=""984"" data-end=""1020""><strong data-start=""984"" data-end=""1020"">Comfortabele en stabiele pasvorm</strong></p> <ul data-start=""949"" data-end=""1132""> <li data-start=""1021"" data-end=""1058""> <p data-start=""1023"" data-end=""1058""><strong data-start=""1023"" data-end=""1058"">Goede ondersteuning van de pols</strong></p> </li> </ul> </li> <li data-start=""1059"" data-end=""1099""> <p data-start=""1061"" data-end=""1099"">Geschikt voor <strong data-start=""1075"" data-end=""1099"">boksen en kickboksen</strong></p> </li> <li data-start=""1100"" data-end=""1132""> <p data-start=""1102"" data-end=""1132"">Duurzame en robuuste afwerking</p> </li> </ul> <p data-start=""1134"" data-end=""1257"">De <strong data-start=""1137"" data-end=""1163"">TITAN bokshandschoenen</strong> zijn gemaakt voor sporters die tijdens hun training kiezen voor kwaliteit en betrouwbaarheid.</p>",Fightpro,Kickbokshandschoenen leer,"Bestsellers!, Fightpro, Handschoenen, Kickbokshandschoenen leer, Bestseller",TRUE,Maat,10 oz,,shopify,10,deny,manual,109.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2025/10/FIGHTPRO-boxhandschuhe-titan-black-white.jpg,1,Fightpro kickbokshandschoenen TITAN Top kwaliteit leer Zwart/Wit,active,De &#8220;Fightpro TITAN&#8221; White-on-black bokshandschoen staat bekend om de goede polsbescherming en zit erg aangenaam.,Bestseller,glove,#1A1200
fightpro-kickbokshandschoenen-titan-top-kwaliteit-leer-zwart-wit,,,,,,,Maat,12 oz,,shopify,10,deny,manual,109.95,,TRUE,TRUE,,,,active,,,,
fightpro-kickbokshandschoenen-titan-top-kwaliteit-leer-zwart-wit,,,,,,,Maat,14 oz,,shopify,10,deny,manual,109.95,,TRUE,TRUE,,,,active,,,,
fightpro-kickbokshandschoenen-titan-top-kwaliteit-leer-zwart-wit,,,,,,,Maat,16 oz,,shopify,10,deny,manual,109.95,,TRUE,TRUE,,,,active,,,,
fightpro-kickbokshandschoenen-titan-top-kwaliteit-leer-zwart-wit,,,,,,,Maat,4 oz,,shopify,10,deny,manual,109.95,,TRUE,TRUE,,,,active,,,,
fightpro-kickbokshandschoenen-titan-top-kwaliteit-leer-zwart-wit,,,,,,,Maat,6 oz,,shopify,10,deny,manual,109.95,,TRUE,TRUE,,,,active,,,,
fightpro-kickbokshandschoenen-titan-top-kwaliteit-leer-zwart-wit,,,,,,,Maat,8 oz,,shopify,10,deny,manual,109.95,,TRUE,TRUE,,,,active,,,,
fightpro-kickbokshandschoenen-titan-top-kwaliteit-leer-zwart-wit,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2025/10/FIGHTPRO-boxhandschuhe-kali-black-white-2.jpg,2,Fightpro kickbokshandschoenen TITAN Top kwaliteit leer Zwart/Wit,,,,,
fightpro-kickbokshandschoenen-titan-top-kwaliteit-leer-zwart-wit,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2025/10/FIGHTPRO-boxhandschuhe-kali-black-white-3.jpg,3,Fightpro kickbokshandschoenen TITAN Top kwaliteit leer Zwart/Wit,,,,,
fightpro-kickbokshandschoenen-titan-top-kwaliteit-leer-zwart-wit,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2025/10/FIGHTPRO-boxhandschuhe-kali-black-white-4.jpg,4,Fightpro kickbokshandschoenen TITAN Top kwaliteit leer Zwart/Wit,,,,,
fightpro-kickbokshandschoenen-titan-top-kwaliteit-leer-zwart-wit,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2025/10/FIGHTPRO-boxhandschuhe-kali-black-white-5.jpg,5,Fightpro kickbokshandschoenen TITAN Top kwaliteit leer Zwart/Wit,,,,,
fightpro-t-rex-dino-bokshandschoenen-kids,Fightpro T-rex Dino bokshandschoenen kids LEGENDS,<p>LEGEND KIDS COLLECTION</p> <p>Fightpro T-rex bokshandschoenen kids</p>,Fightpro,Kickbokshandschoenen Kunststof,"Collecties, Fightpro, Handschoenen, Kickbokshandschoenen Kunststof, Kids fight, Legends Kids",TRUE,Maat,140,,shopify,10,deny,manual,44.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/02/FIGHTPRO-boxhandschuhe-kinder-T-REX-Dino.jpg,1,Fightpro T-rex Dino bokshandschoenen kids LEGENDS,active,"Stoere T-rex Dino bokshandschoenen voor kids. Mooi te combineren met scheenbeschermers , shirt , broekje en tas van dezelfde lijn. verkrijgbaar in de maten: 4 oz 6oz 8 oz 10 oz",,apparel,#1A1200
fightpro-t-rex-dino-bokshandschoenen-kids,,,,,,,Maat,152,,shopify,10,deny,manual,44.95,,TRUE,TRUE,,,,active,,,,
fightpro-t-rex-dino-bokshandschoenen-kids,,,,,,,Maat,164,,shopify,10,deny,manual,44.95,,TRUE,TRUE,,,,active,,,,
fightpro-t-rex-dino-bokshandschoenen-kids,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/02/FIGHTPRO-boxhandschuhe-kinder-T-REX-Dino-2.jpg,2,Fightpro T-rex Dino bokshandschoenen kids LEGENDS,,,,,
fightpro-t-rex-dino-bokshandschoenen-kids,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/02/FIGHTPRO-boxhandschuhe-kinder-T-REX-Dino-3.jpg,3,Fightpro T-rex Dino bokshandschoenen kids LEGENDS,,,,,
fightpro-t-rex-dino-bokshandschoenen-kids,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/02/FIGHTPRO-boxhandschuhe-kinder-T-REX-Dino-4.jpg,4,Fightpro T-rex Dino bokshandschoenen kids LEGENDS,,,,,
fightpro-t-rex-dino-scheenbeschermers-kids,Fightpro T-rex Dino scheenbeschermers kids LEGENDS,<p>LEGEND KIDS COLLECTION</p> <p>Fightpro T-rex scheenbeschermers kids</p>,Fightpro,Legends Kids,"Bescherming, Collecties, Fightpro, Kids fight, Legends Kids, Scheenbeschermers",TRUE,Maat,140,,shopify,10,deny,manual,39.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/02/FIGHTPRO-schienbeinshutz-kinder-T-REX-Dino-3.jpg,1,Fightpro T-rex Dino scheenbeschermers kids LEGENDS,active,"Stoere T-rex Dino scheen beschermers voor kids. Mooi te combineren met handschoenen, shirt , broekje en tas van dezelfde lijn.",,shield,#1A1200
fightpro-t-rex-dino-scheenbeschermers-kids,,,,,,,Maat,152,,shopify,10,deny,manual,39.95,,TRUE,TRUE,,,,active,,,,
fightpro-t-rex-dino-scheenbeschermers-kids,,,,,,,Maat,164,,shopify,10,deny,manual,39.95,,TRUE,TRUE,,,,active,,,,
fightpro-t-rex-dino-scheenbeschermers-kids,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/02/FIGHTPRO-schienbeinshutz-kinder-T-REX-Dino.jpg,2,Fightpro T-rex Dino scheenbeschermers kids LEGENDS,,,,,
fightpro-t-rex-dino-scheenbeschermers-kids,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/02/FIGHTPRO-schienbeinshutz-kinder-T-REX-Dino-1.jpg,3,Fightpro T-rex Dino scheenbeschermers kids LEGENDS,,,,,
fightpro-t-rex-dino-sport-tas-kids,Fightpro T-rex Dino sport tas kids LEGENDS,<p>LEGEND KIDS COLLECTION</p> <p>Fightpro T-rex sport tas kids</p>,Fightpro,Legends Kids,"Collecties, Fightpro, Kids fight, Legends Kids, Sport tassen",TRUE,Maat,140,,shopify,10,deny,manual,39.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/02/Sport-Tasche-T-REX-Dino.jpg,1,Fightpro T-rex Dino sport tas kids LEGENDS,active,"Stoere T-rex Dino sporttas voor kids. Mooi te combineren met handschoenen, shirt , broekje en scheenbeschermers van dezelfde lijn.",,bag,#1A1200
fightpro-t-rex-dino-sport-tas-kids,,,,,,,Maat,152,,shopify,10,deny,manual,39.95,,TRUE,TRUE,,,,active,,,,
fightpro-t-rex-dino-sport-tas-kids,,,,,,,Maat,164,,shopify,10,deny,manual,39.95,,TRUE,TRUE,,,,active,,,,
fightpro-t-rex-dino-sport-tas-kids,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/02/Sport-Tasche-T-REX-Dino-2.jpg,2,Fightpro T-rex Dino sport tas kids LEGENDS,,,,,
fightpro-t-rex-dino-sport-tas-kids,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/02/Sport-Tasche-T-REX-Dino-3.jpg,3,Fightpro T-rex Dino sport tas kids LEGENDS,,,,,
fightpro-t-rex-dino-sport-tas-kids,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/02/Sport-Tasche-T-REX-Dino-4.jpg,4,Fightpro T-rex Dino sport tas kids LEGENDS,,,,,
fightpro-t-rex-dino-sport-tas-kids,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/02/Sport-Tasche-T-REX-Dino-5.jpg,5,Fightpro T-rex Dino sport tas kids LEGENDS,,,,,
fightpro-t-rex-dino-short-broekje-kids,Fightpro T-rex Dino short / broekje kids LEGENDS,<p>LEGEND KIDS COLLECTION</p> <p>Fightpro T-rex short / kickboks broekje kids</p>,Fightpro,Broekjes,"Broekjes, Collecties, Fightpro, Kids fight, Kleding, Legends Kids",TRUE,Maat,140,,shopify,10,deny,manual,34.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/02/FIGHTPRO-shorts-kickbox-hose-kinder-T-REX-Dino.jpg,1,Fightpro T-rex Dino short / broekje kids LEGENDS,active,"Stoer T-rex short ,kickboks broekje voor kids. Mooi te combineren met handschoenen, shirt , tas en scheenbeschermers van dezelfde lijn. te verkrijgen in de maten: XXS XS S M",,apparel,#1A1200
fightpro-t-rex-dino-short-broekje-kids,,,,,,,Maat,152,,shopify,10,deny,manual,34.95,,TRUE,TRUE,,,,active,,,,
fightpro-t-rex-dino-short-broekje-kids,,,,,,,Maat,164,,shopify,10,deny,manual,34.95,,TRUE,TRUE,,,,active,,,,
fightpro-t-rex-dino-short-broekje-kids,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/02/FIGHTPRO-shorts-kickbox-hose-kinder-T-REX-Dino-2.jpg,2,Fightpro T-rex Dino short / broekje kids LEGENDS,,,,,
fightpro-t-rex-dino-short-broekje-kids,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/02/FIGHTPRO-shorts-kickbox-hose-kinder-T-REX-Dino-3.jpg,3,Fightpro T-rex Dino short / broekje kids LEGENDS,,,,,
fightpro-t-rex-dino-short-broekje-kids,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/02/FIGHTPRO-t-shirt-Short-kinder-T-REX-Dino-5.jpg,4,Fightpro T-rex Dino short / broekje kids LEGENDS,,,,,
fightpro-t-rex-shirt-kids,Fightpro T-rex shirt kids LEGENDS,<p>LEGEND KIDS COLLECTION</p> <p>Fightpro T-rex shirt kids</p>,Fightpro,Legends Kids,"Collecties, Fightpro, Kids fight, Kleding, Legends Kids, T-Shirts",TRUE,Maat,140,,shopify,10,deny,manual,29.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/02/FIGHTPRO-t-shirt-kinder-T-REX-Dino.jpg,1,Fightpro T-rex shirt kids LEGENDS,active,"Stoer T-rex shirt voor kids. Mooi te combineren met handschoenen, broekje, tas en scheenbeschermers van dezelfdev lijn. te verkrijgen in de maten: 128 140 152 164",,apparel,#1A1200
fightpro-t-rex-shirt-kids,,,,,,,Maat,152,,shopify,10,deny,manual,29.95,,TRUE,TRUE,,,,active,,,,
fightpro-t-rex-shirt-kids,,,,,,,Maat,164,,shopify,10,deny,manual,29.95,,TRUE,TRUE,,,,active,,,,
fightpro-t-rex-shirt-kids,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/02/FIGHTPRO-t-shirt-kinder-T-REX-Dino-2.jpg,2,Fightpro T-rex shirt kids LEGENDS,,,,,
fightpro-t-rex-shirt-kids,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/02/FIGHTPRO-t-shirt-kinder-T-REX-Dino-3.jpg,3,Fightpro T-rex shirt kids LEGENDS,,,,,
fightpro-t-rex-shirt-kids,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/02/FIGHTPRO-t-shirt-kinder-T-REX-Dino-4.jpg,4,Fightpro T-rex shirt kids LEGENDS,,,,,
fightpro-t-rex-shirt-kids,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/02/FIGHTPRO-t-shirt-kinder-T-REX-Dino-5.jpg,5,Fightpro T-rex shirt kids LEGENDS,,,,,
fightpro-t-rex-shirt-kids,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/02/FIGHTPRO-t-shirt-Short-kinder-T-REX-Dino-5.jpg,6,Fightpro T-rex shirt kids LEGENDS,,,,,
fightpro-sport-tape-voor-boksers-kickboksers-rood-blauw-zwart-wit-10m-x-38-cm,"Fightpro Sport Tape voor Boksers &#038; Kickboksers – Rood, Blauw, Zwart &#038; Wit 10m x 3,8 cm","<p data-start=""1265"" data-end=""1526""><strong data-start=""1265"" data-end=""1305"">Rode hoek of blauwe hoek? Jij kiest.</strong><br data-start=""1305"" data-end=""1308"" />Deze sport tape is gemaakt voor boksers en kickboksers die weten wat een hoek betekent.<br data-start=""1395"" data-end=""1398"" />Niet zomaar wit en saai, maar <strong data-start=""1428"" data-end=""1466"">rood en blauw – net als in de ring</strong>.<br data-start=""1467"" data-end=""1470"" />Daarnaast ook verkrijgbaar in <strong data-start=""1500"" data-end=""1525"">klassiek zwart en wit</strong>.</p> <p data-start=""1528"" data-end=""1747"">De tape biedt stevige ondersteuning voor handen, polsen en knokkels en blijft goed zitten tijdens intensieve trainingen en sparringssessies. Ideaal in combinatie met bandages of als extra fixatie onder bokshandschoenen.</p> <p data-start=""1749"" data-end=""1875"">✔ Sterke grip<br data-start=""1762"" data-end=""1765"" />✔ Makkelijk af te scheuren<br data-start=""1791"" data-end=""1794"" />✔ Geschikt voor boksen & kickboksen<br data-start=""1829"" data-end=""1832"" />✔ Voor training én wedstrijdvoorbereiding</p> <p data-start=""1877"" data-end=""1926""><strong data-start=""1877"" data-end=""1926"">Geen poespas. Gewoon fight gear met karakter.</strong></p> <p data-start=""1877"" data-end=""1926"">Bij groetere afname, speciale prijzen!</p>",Fightpro,Tape,"Fightpro, Tape",TRUE,,Default Title,,shopify,10,deny,manual,3.50,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/02/sport-tape-boxing-hand.jpg,1,"Fightpro Sport Tape voor Boksers &#038; Kickboksers – Rood, Blauw, Zwart &#038; Wit 10m x 3,8 cm",active,"Sport tape voor boksers en kickboksers in rood, blauw, zwart en wit. Geïnspireerd op de rode en blauwe hoek – functioneel, sterk en met een echte fight-look.",,wrap,#1A1200
fightpro-bokshandschoenen-base-black-gold-pu-van-4oz-t-m-16-oz,Fightpro bokshandschoenen NOVA black/gold PU van 4oz t/m 16 oz,"<p data-start=""329"" data-end=""555"">De <strong data-start=""332"" data-end=""360"">Fightpro NOVA Black/Gold</strong> bokshandschoenen zijn ons meest verkochte PU-basismodel – ontworpen voor intensief gebruik in sportscholen, personal training en recreatieve vechters die kwaliteit zoeken voor een scherpe prijs.</p> <p data-start=""557"" data-end=""834"">De stijlvolle combinatie van diepzwart met krachtige goudaccenten geeft deze handschoenen een professionele uitstraling in iedere gym. Of je nu werkt aan je techniek op de bokszak, pads traint met een trainer of sparring doet: de NOVA levert betrouwbare bescherming en comfort.</p> <h3 data-start=""836"" data-end=""878"">Waarom kiezen voor de Fightpro NOVA?</h3> <ul data-start=""880"" data-end=""1141""> <li data-start=""880"" data-end=""917""> <p data-start=""882"" data-end=""917"">Verkrijgbaar van <strong data-start=""899"" data-end=""917"">4 oz t/m 16 oz</strong></p> </li> <li data-start=""918"" data-end=""946""> <p data-start=""920"" data-end=""946"">Slijtvaste PU-buitenkant</p> </li> <li data-start=""947"" data-end=""1008""> <p data-start=""949"" data-end=""1008"">Stevige klittenbandsluiting voor optimale polsstabiliteit</p> </li> <li data-start=""1009"" data-end=""1033""> <p data-start=""1011"" data-end=""1033"">Goede schokabsorptie</p> </li> <li data-start=""1034"" data-end=""1058""> <p data-start=""1036"" data-end=""1058"">Comfortabele pasvorm</p> </li> <li data-start=""1059"" data-end=""1099""> <p data-start=""1061"" data-end=""1099"">Ideaal voor beginners én semi-gevorderden</p> </li> <li data-start=""1100"" data-end=""1141""> <p data-start=""1102"" data-end=""1141"">Uitstekende prijs-kwaliteitverhouding</p> </li> </ul> <p data-start=""1143"" data-end=""1363"">Deze handschoen wordt veel ingezet door sportscholen en personal trainers vanwege de duurzaamheid en de aantrekkelijke prijs. “Goedkoop en goed” is hier geen loze belofte – het is precies waarom dit model zo populair is.</p> <h3 data-start=""1365"" data-end=""1386"">Perfect voor:</h3> <ul data-start=""1387"" data-end=""1463""> <li data-start=""1387"" data-end=""1406""> <p data-start=""1389"" data-end=""1406"">Bokszaktraining</p> </li> <li data-start=""1407"" data-end=""1423""> <p data-start=""1409"" data-end=""1423"">Padstraining</p> </li> <li data-start=""1424"" data-end=""1440""> <p data-start=""1426"" data-end=""1440"">Groepslessen</p> </li> <li data-start=""1441"" data-end=""1463""> <p data-start=""1443"" data-end=""1463"">Recreatief sparren</p> </li> </ul> <hr data-start=""1465"" data-end=""1468"" /> <h3 data-start=""1470"" data-end=""1513"">Eigen logo mogelijk (vanaf 20 stuks)</h3> <p data-start=""1515"" data-end=""1695"">Wil je jouw gym, personal training studio of evenement professioneel uitstralen?<br data-start=""1595"" data-end=""1598"" />Bij afname vanaf <strong data-start=""1615"" data-end=""1627"">20 stuks</strong> is het mogelijk om de Fightpro NOVA te leveren met jouw eigen logo.</p> <p data-start=""1697"" data-end=""1709"">Ideaal voor:</p> <ul data-start=""1710"" data-end=""1810""> <li data-start=""1710"" data-end=""1726""> <p data-start=""1712"" data-end=""1726"">Sportscholen</p> </li> <li data-start=""1727"" data-end=""1746""> <p data-start=""1729"" data-end=""1746"">Kickboksscholen</p> </li> <li data-start=""1747"" data-end=""1762""> <p data-start=""1749"" data-end=""1762"">PT-studio’s</p> </li> <li data-start=""1763"" data-end=""1782""> <p data-start=""1765"" data-end=""1782"">Bedrijfsfitness</p> </li> <li data-start=""1783"" data-end=""1810""> <p data-start=""1785"" data-end=""1810"">Evenementen en seminars</p> </li> </ul> <p data-start=""1812"" data-end=""1873"">Neem contact met ons op voor de mogelijkheden en levertijden.</p>",Fightpro,Kickbokshandschoenen Kunststof,"Fightpro, Handschoenen, Kickbokshandschoenen Kunststof",TRUE,,Default Title,,shopify,10,deny,manual,39.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/01/FIGHTPRO-KICKBOKSHANDSCHOEN-PU-nova-gold.jpg,1,Fightpro bokshandschoenen NOVA black/gold PU van 4oz t/m 16 oz,active,Waarom kiezen voor de Fightpro NOVA? Verkrijgbaar van 4 oz t/m 16 oz Slijtvaste PU-buitenkant Stevige klittenbandsluiting voor optimale polsstabiliteit Goede schokabsorptie Comfortabele pasvorm Ideaal voor beginners Uitstekende prijs-kwaliteitverhoud,,glove,#1A1200
fightpro-bokshandschoenen-base-black-gold-pu-van-4oz-t-m-16-oz,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/01/FIGHTPRO-KICKBOKSHANDSCHOEN-PU-nova-gold-2.jpg,2,Fightpro bokshandschoenen NOVA black/gold PU van 4oz t/m 16 oz,,,,,
fightpro-bokshandschoenen-base-black-gold-pu-van-4oz-t-m-16-oz,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/01/FIGHTPRO-KICKBOKSHANDSCHOEN-PU-nova-gold-3.jpg,3,Fightpro bokshandschoenen NOVA black/gold PU van 4oz t/m 16 oz,,,,,
fightpro-bokshandschoenen-base-black-gold-pu-van-4oz-t-m-16-oz,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/01/FIGHTPRO-KICKBOKSHANDSCHOEN-PU-nova-gold-4.jpg,4,Fightpro bokshandschoenen NOVA black/gold PU van 4oz t/m 16 oz,,,,,
fightpro-bokshandschoenen-base-black-gold-pu-van-4oz-t-m-16-oz,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/01/FIGHTPRO-KICKBOKSHANDSCHOEN-PU-nova-gold-5.jpg,5,Fightpro bokshandschoenen NOVA black/gold PU van 4oz t/m 16 oz,,,,,
fightpro-bokshandschoenen-base-black-gold-pu-van-4oz-t-m-16-oz,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/01/FIGHTPRO-KICKBOKSHANDSCHOEN-PU-nova-gold-6.jpg,6,Fightpro bokshandschoenen NOVA black/gold PU van 4oz t/m 16 oz,,,,,
px-legacy-2-bokshandschoenen-pu-zwart-black,PX LEGACY 2 Bokshandschoenen PU zwart black,<p>PX LEGACY 2 Bokshandschoenen PU black zwart</p>,PX,Kickbokshandschoenen Kunststof,"Handschoenen, Kickbokshandschoenen Kunststof, Kids fight, PX",TRUE,Maat,10 oz,,shopify,10,deny,manual,49.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/01/IMG_0184.jpeg,1,PX LEGACY 2 Bokshandschoenen PU zwart black,active,PX LEGACY 2 Bokshandschoenen PU zand / stone,,apparel,#101820
px-legacy-2-bokshandschoenen-pu-zwart-black,,,,,,,Maat,12 oz,,shopify,10,deny,manual,49.95,,TRUE,TRUE,,,,active,,,,
px-legacy-2-bokshandschoenen-pu-zwart-black,,,,,,,Maat,14 oz,,shopify,10,deny,manual,49.95,,TRUE,TRUE,,,,active,,,,
px-legacy-2-bokshandschoenen-pu-zwart-black,,,,,,,Maat,16 oz,,shopify,10,deny,manual,49.95,,TRUE,TRUE,,,,active,,,,
px-legacy-2-bokshandschoenen-pu-zand-stone,PX LEGACY 2 Bokshandschoenen PU zand / stone,<p>PX LEGACY 2 Bokshandschoenen PU zand / stone</p>,PX,Kickbokshandschoenen Kunststof,"Handschoenen, Kickbokshandschoenen Kunststof, Kids fight, PX",TRUE,Maat,10 oz,,shopify,10,deny,manual,49.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/01/IMG_0221.jpeg,1,PX LEGACY 2 Bokshandschoenen PU zand / stone,active,PX LEGACY 2 Bokshandschoenen PU zand / stone,,apparel,#101820
px-legacy-2-bokshandschoenen-pu-zand-stone,,,,,,,Maat,12 oz,,shopify,10,deny,manual,49.95,,TRUE,TRUE,,,,active,,,,
px-legacy-2-bokshandschoenen-pu-zand-stone,,,,,,,Maat,14 oz,,shopify,10,deny,manual,49.95,,TRUE,TRUE,,,,active,,,,
px-legacy-2-bokshandschoenen-pu-zand-stone,,,,,,,Maat,16 oz,,shopify,10,deny,manual,49.95,,TRUE,TRUE,,,,active,,,,
px-legacy-2-bokshandschoenen-pu-zand-stone,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/01/IMG_0223.jpeg,2,PX LEGACY 2 Bokshandschoenen PU zand / stone,,,,,
px-legacy-2-bokshandschoenen-pu-zand-stone,,,,,,,,,,,,,,,,,,https://www.fightpro.nl/wp-content/uploads/2026/01/IMG_0224.jpeg,3,PX LEGACY 2 Bokshandschoenen PU zand / stone,,,,,
